epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.08415,1.40589,3.46092,1.27925,0.00328,0.5,0.26113,0.05297,1.22965,3.5778,1.38444,2e-05,2e-05,2e-05
2,3.77786,1.32735,3.55352,1.2047,0.00463,0.75,0.24795,0.0748,1.09081,3.61694,1.28299,5.8812e-05,5.8812e-05,5.8812e-05
3,5.28639,1.0783,3.39623,1.10286,0.00449,0.75,0.19925,0.08235,0.88436,3.47612,1.15379,9.604e-05,9.604e-05,9.604e-05
4,6.71522,0.94877,3.03134,0.99474,0.00541,1,0.33816,0.23233,0.76274,3.30576,0.99556,0.000131684,0.000131684,0.000131684
5,8.20918,1.01879,2.82152,1.05748,0.00526,1,0.42518,0.30614,0.84222,3.10528,0.99471,0.000165744,0.000165744,0.000165744
6,9.71104,0.93915,2.58866,1.04839,0.00511,1,0.50758,0.30532,0.93291,3.03423,0.97365,0.00019822,0.00019822,0.00019822
7,11.4217,1.01907,1.91267,1.00214,0.00508,1,0.50782,0.25098,0.95854,2.91395,0.98201,0.000229112,0.000229112,0.000229112
8,13.1595,0.82244,1.4782,0.97388,0.00505,1,0.5072,0.22457,0.92504,2.77715,0.95382,0.00025842,0.00025842,0.00025842
9,14.8074,1.0966,1.27034,1.08627,0.00513,1,0.50774,0.21002,0.92058,2.77145,0.94229,0.000286144,0.000286144,0.000286144
10,16.5141,0.8422,0.98683,0.8757,0.00494,1,0.50766,0.23469,0.82236,2.77114,0.92243,0.000312284,0.000312284,0.000312284
11,18.1758,0.84042,1.05962,0.92645,0.0048,1,0.51193,0.19372,0.81165,2.76541,0.9309,0.00033684,0.00033684,0.00033684
12,19.9596,0.80991,1.27935,0.97472,0.00465,1,0.68842,0.32213,0.83984,2.71372,0.9257,0.000359812,0.000359812,0.000359812
13,21.4704,0.87754,1.15625,0.93174,0.00458,1,0.68831,0.39388,0.83891,2.65089,0.90438,0.0003812,0.0003812,0.0003812
14,23.4136,0.81,1.1069,0.89878,0.00462,1,0.68821,0.50625,0.7796,2.62524,0.8859,0.000401004,0.000401004,0.000401004
15,25.0559,0.93141,1.07006,0.99905,0.00474,1,0.68812,0.53118,0.76311,2.60876,0.88553,0.000419224,0.000419224,0.000419224
16,26.8537,1.06481,1.15998,1.10896,0.00484,1,0.75095,0.61182,0.74133,2.60325,0.88262,0.00043586,0.00043586,0.00043586
17,28.7267,0.8767,1.21953,0.94032,0.00497,1,0.75133,0.61205,0.7401,2.57189,0.87593,0.000450912,0.000450912,0.000450912
18,30.3039,0.78437,1.00791,0.8804,0.00508,1,0.68912,0.56289,0.69304,2.53453,0.87468,0.00046438,0.00046438,0.00046438
19,31.6783,0.79706,1.00373,0.9493,0.00528,1,0.75624,0.61612,0.74158,2.49505,0.89078,0.000476264,0.000476264,0.000476264
20,33.2361,0.83767,1.11492,0.88783,0.00541,1,0.69193,0.55355,0.81583,2.47662,0.92414,0.000486564,0.000486564,0.000486564
21,34.843,0.8943,1.06679,0.96653,0.00546,1,0.6273,0.47657,0.87233,2.493,0.9717,0.00049528,0.00049528,0.00049528
22,36.5432,0.81981,1.1863,0.98758,0.00553,1,0.57769,0.40922,0.90746,2.48273,0.98558,0.000502412,0.000502412,0.000502412
23,38.3186,0.96227,0.9875,0.98763,0.70074,0.5,0.56213,0.39656,0.88012,2.45828,0.98424,0.00050796,0.00050796,0.00050796
24,39.8282,0.91405,0.93153,0.9377,0.75801,0.5,0.61375,0.43281,0.89231,2.42667,1.02279,0.000511924,0.000511924,0.000511924
25,41.3171,0.77934,0.95103,0.95847,0.0055,1,0.81643,0.58571,0.86087,2.45319,1.036,0.000514304,0.000514304,0.000514304
26,42.643,0.82991,0.81155,0.88958,0.00547,1,0.88786,0.66693,0.79972,2.45089,1.02037,0.0005151,0.0005151,0.0005151
27,44.1544,0.81055,0.9625,0.97419,0.00536,1,0.945,0.7055,0.82081,2.45648,1.00076,0.000514312,0.000514312,0.000514312
28,45.683,0.96211,1.07563,1.0271,0.00536,1,0.945,0.7055,0.82081,2.45648,1.00076,0.00051194,0.00051194,0.00051194
29,47.2899,0.904,0.99112,0.986,0.00569,1,0.995,0.78667,0.78984,2.49538,1.00551,0.000507984,0.000507984,0.000507984
30,48.8813,0.95514,0.94968,1.02188,0.00519,1,0.995,0.78667,0.76957,2.45758,0.9934,0.000502444,0.000502444,0.000502444
31,50.2096,0.96355,1.06911,1.04621,0.00519,1,0.995,0.78667,0.76957,2.45758,0.9934,0.00049532,0.00049532,0.00049532
32,52.0636,0.86257,0.88212,0.95706,0.00559,1,0.995,0.783,0.80156,2.3749,0.98289,0.000486612,0.000486612,0.000486612
33,53.7312,0.83538,0.91208,0.92388,0.02971,1,0.995,0.75167,0.82844,2.24786,0.99036,0.00047632,0.00047632,0.00047632
34,55.1568,1.00706,0.98891,1.00252,0.02971,1,0.995,0.75167,0.82844,2.24786,0.99036,0.000464444,0.000464444,0.000464444
35,56.5925,0.95814,0.97925,0.95769,1,0.94752,0.995,0.72254,0.8199,2.17938,0.99089,0.000450984,0.000450984,0.000450984
36,58.1869,0.87497,0.90585,0.94193,1,0.62942,0.995,0.72166,0.77101,2.09653,0.98786,0.00043594,0.00043594,0.00043594
37,59.5193,0.71868,0.85955,0.94046,1,0.62942,0.995,0.72166,0.77101,2.09653,0.98786,0.000419312,0.000419312,0.000419312
38,60.9658,0.72673,0.76959,0.88392,1,0.82405,0.995,0.721,0.77083,2.00798,0.99505,0.0004011,0.0004011,0.0004011
39,62.6723,0.67412,0.75733,0.89343,1,0.90031,0.995,0.7335,0.78088,1.91448,1.01421,0.000381304,0.000381304,0.000381304
40,64.5156,0.74506,0.79651,0.96289,1,0.90031,0.995,0.7335,0.78088,1.91448,1.01421,0.000359924,0.000359924,0.000359924
41,66.0766,0.64482,0.81821,0.90907,0.8152,0.75,0.945,0.70267,0.79571,1.76713,1.00869,0.00033696,0.00033696,0.00033696
42,67.5618,0.74739,0.9066,0.91156,1,0.72201,0.91167,0.7375,0.77011,1.70934,0.97897,0.000312412,0.000312412,0.000312412
43,68.7819,0.72868,0.79036,0.94472,1,0.72201,0.91167,0.7375,0.77011,1.70934,0.97897,0.00028628,0.00028628,0.00028628
44,70.2775,0.71841,0.89383,0.98909,1,0.69356,0.91167,0.72892,0.72706,1.70319,0.95033,0.000258564,0.000258564,0.000258564
45,71.779,0.66181,0.94348,0.85464,1,0.69356,0.91167,0.72892,0.72706,1.70319,0.95033,0.000229264,0.000229264,0.000229264
46,73.3828,0.67117,0.88788,0.85191,1,0.71019,0.91167,0.76217,0.71387,1.67517,0.9463,0.00019838,0.00019838,0.00019838
47,74.5933,0.57891,0.89874,0.81229,1,0.71019,0.91167,0.76217,0.71387,1.67517,0.9463,0.000165912,0.000165912,0.000165912
48,76.2916,0.61146,1.02779,0.86937,0.79042,0.95208,0.945,0.7905,0.69428,1.64527,0.92186,0.00013186,0.00013186,0.00013186
49,77.9972,0.66033,0.91208,0.78471,0.79042,0.95208,0.945,0.7905,0.69428,1.64527,0.92186,9.6224e-05,9.6224e-05,9.6224e-05
50,79.5072,0.54993,0.76804,0.83631,0.77506,1,0.945,0.7905,0.69482,1.56589,0.91153,5.9004e-05,5.9004e-05,5.9004e-05
